Código	Artículo	Precio sin impuestos	Porcentaje impuestos	Porcentaje liquidación	Fecha fin de promo	Fecha reposición	Canon digital	Part number	Stock local	Stock provincias	Id marca	Id categoría	Categoría	URL imagen	Código Icecat
70402010	Lector tarj. magnética Posiflex 2p PS2 Blanco (MR-2000)	PVM	7	70			0	MR-2000	10	10			Terminales TPV>Escáner>Lectores de tarjeta	https://cluster.binarycanarias.com/img/cp-70402010.jpg	-1
20209510	HP Alimentador de 250 Hojas LJ5100 (Q1866A)	PVM	7	70			0	Q1866A	1	1			Impresoras y escáner>Impresoras láser>Varios (impresoras láser)		24135
50252068	Tinta HP Negro (C9362EE) N336	PVM	7	0			0	C9362EE	2	2			Consumibles impresión>Tintas Marcas>Tintas HP		1335188
45203725	T. Red PCMCIA ECOM Wireless 125Mbps MIMO(EW125TGPCM)	PVM	7	70			0	EW125TGPCM	3	5			Redes y CCTV>WiFi>Varios (wifi)	https://cluster.binarycanarias.com/img/cp-45203725.jpg	-1
50252507	Cabezal HP Negro/Amarillo (C9384A) N72	PVM	7	0			0	C9384A	0	1			Consumibles impresión>Tintas Marcas>Tintas HP	https://cluster.binarycanarias.com/img/cp-50252507.jpg	859687
50258549	Tinta BROTHER Cian 13.3ml 1200pag LC1280XLC	PVM	7	0			0	LC1280XLCBP	1	2			Consumibles impresión>Tintas Marcas>Tintas Brother	https://cluster.binarycanarias.com/img/cp-50258549.jpg	7077865
15207132	Batería ISAW Recargable 3.7V 1200mAh (ISAW-REP-03)	PVM	7	70			0	ISAW-REP-03	1	2			Imagen y sonido>Fotografía y video>Varios fotografía	https://cluster.binarycanarias.com/img/cp-15207132.jpg	23204677
70902082	Protector pantalla MOYOU Samsung Galaxy S5 (62004)	PVM	7	50			0	62004	8	10			Telefonía / Smartphones>Accesorios de telefonía móvil>Protectores de pantalla	https://cluster.binarycanarias.com/img/cp-70902082.jpg	26961144
50253171	Tinta EPSON Negro 79XL Torre de Pisa T7901	PVM	7	0			0	C13T79014010	1	1			Consumibles impresión>Tintas Marcas>Tintas Epson	https://cluster.binarycanarias.com/img/cp-50253171.jpg	21602010
55255910	Latiguillo EQUIP U/UTP Cat.6 2m (EQ625411)	PVM	7	0			0	EQ625411	10	10			Periféricos>Cables>Latiguillos de red	https://cluster.binarycanarias.com/img/cp-55255910.jpg	17542665
55255863	EQUIP Cable HDMI 1.4 H.Speed con Ethernet 5m (EQ119355)	PVM	7	0			0	EQ119355	10	10			Periféricos>Cables>Video	https://cluster.binarycanarias.com/img/cp-55255863.jpg	15988012
55255907	Latiguillo EQUIP U/UTP Cat.5e 5m (EQ825414)	PVM	7	0			0	EQ825414	10	10			Periféricos>Cables>Latiguillos de red	https://cluster.binarycanarias.com/img/cp-55255907.jpg	16004664
10758112	Cartucho de datos HP LTO-6 Ultrium6 6.5Tb (C7976A)	PVM	7	0			0	C7976A	5	10			Consumibles varios>Consumibles grabación>DAT	https://cluster.binarycanarias.com/img/cp-10758112.jpg	-1
55255678	Cable EQUIP USB-C/M-USB-C/M 2m (EQ128352)	PVM	7	0			0	EQ128352	3	7			Periféricos>Cables>Datos	https://cluster.binarycanarias.com/img/cp-55255678.jpg	61191837
70500815	Impresoras de etiquetas BROTHER (RJ-2050)	PVM	7	50			0	RJ-2050	1	2			Impresoras y escáner>Impresoras etiquetas>Impresoras etiquetas	https://cluster.binarycanarias.com/img/cp-70500815.jpg	36069217
55257239	Nanocable HDMI V2.0  A/M-A/M 3m Negro (10.15.3703)	PVM	7	0			0	10.15.3703	10	10			Periféricos>Cables>Video	https://cluster.binarycanarias.com/img/cp-55257239.jpg	65555375
55256144	Latiguillo Apant. EQUIP Cat6 S/FTP 2m Blanco (EQ605511)	PVM	7	0			0	EQ605511	10	10			Periféricos>Cables>Latiguillos de red	https://cluster.binarycanarias.com/img/cp-55256144.jpg	716665
30203540	Altavoces NGS Multimedia 4W (2W 2W) Negro (SB150)	PVM	7	0			0	SB150	10	10			Multimedia>Sonido>Altavoces	https://cluster.binarycanarias.com/img/cp-30203540.jpg	2286562
50351035	Toner HP LaserJet 1000W/1200/3330 (C7115A)	PVM	7	0			0	C7115A	0	1			Consumibles impresión>Toner Marcas>Toner HP		2226
